participant,session,date,expName,psychopyVersion,OS,frameRate,exp1_trial_key.keys,exp1_trial_key.rt,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_trial_loop.ran,num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp1_key.keys,exp1_key.corr,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp1_loop.ran,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_key.rt,exp2_trial_key.keys,exp2_trial_key.rt,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_trial_loop.ran,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_retrial.ran,exp2_key.keys,exp2_key.rt,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp2_loop.ran,cs
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,156,l1,t,es,f0c,audio/156.wav,,l1_t_es_f0c_156,,,,,,,image/city.png,image/village.png,village,rshift,rshift,1,0,33,33,50,1,1,village,city,city,village,,3.7439,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,102,l2,f,en,na,audio/102.wav,,l2_f_en_na_102,,,,,,,image/socks.png,image/book.png,books,rshift,rshift,1,0,34,34,6,1,1,books,socks,socks,book,,2.699,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,120,l2,f,se,na,audio/120.wav,,l2_f_se_na_120,,,,,,,image/glasses.png,image/joycons.png,joycons,rshift,rshift,1,0,35,35,24,1,1,joycons,glasses,glasses,joycons,,2.6066,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,023,l2,t,es,na,audio/023.wav,,l2_t_es_na_023,,,,,,,image/wine.png,image/cellphone.png,wine,lshift,lshift,1,0,36,36,37,1,1,wine,cellphone,wine,cellphone,,2.4533,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,096,l2,f,en,na,audio/096.wav,,l2_f_en_na_096,,,,,,,image/woman.png,image/cat.png,cat,rshift,rshift,1,0,37,37,0,1,1,cat,woman,woman,cat,../image/,1.9947,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,157,l1,t,es,f0c,audio/157.wav,,l1_t_es_f0c_157,,,,,,,image/jacket.png,image/shirt.png,jacket,lshift,lshift,1,0,38,38,51,1,1,jacket,shirt,jacket,shirt,,2.614,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,152,l1,t,es,f0c,audio/152.wav,,l1_t_es_f0c_152,,,,,,,image/car.png,image/grandma.png,grandma,rshift,rshift,1,0,39,39,46,1,1,grandma,car,car,grandma,,2.3626,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,116,l2,f,se,na,audio/116.wav,,l2_f_se_na_116,,,,,,,image/sweatpants.png,image/boxers.png,boxers,rshift,rshift,1,0,40,40,20,1,1,boxers,sweatpants,sweatpants,boxers,,2.4521,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,026,l2,t,es,na,audio/026.wav,,l2_t_es_na_026,,,,,,,image/village.png,image/grandma.png,grandma,rshift,rshift,1,0,41,41,40,1,1,grandma,village,village,grandma,,2.6542,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,121,l2,f,sp,na,audio/121.wav,,l2_f_sp_na_121,,,,,,,image/shoe.png,image/glasses.png,shoe,lshift,lshift,1,0,42,42,25,1,1,shoe,glasses,shoe,glasses,,2.3866,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,106,l2,f,en,na,audio/106.wav,,l2_f_en_na_106,,,,,,,image/wallet.png,image/computer.png,computer,rshift,rshift,1,0,43,43,10,1,1,computer,wallet,wallet,computer,,2.7815,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,101,l2,f,en,na,audio/101.wav,,l2_f_en_na_101,,,,,,,image/computer.png,image/bag.png,computer,lshift,lshift,1,0,44,44,5,1,1,computer,bag,computer,bag,,2.3614,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,022,l2,t,es,na,audio/022.wav,,l2_t_es_na_022,,,,,,,image/dog.png,image/cat.png,cat,rshift,rshift,1,0,45,45,36,1,1,cat,dog,dog,cat,,2.179,,,,,,,,,,,,,,,,,,,,
064,001,2023-10-23_17h51.37.190,exp_g2,2022.2.5,Win32,8.997093939,,,,,,,,118,l2,f,se,na,audio/118.wav,,l2_f_se_na_118,,,,,,,image/icecream.png,image/donut.png,donut,rshift,rshift,1,0,46,46,22,1,1,donut,icecream,icecream,donut,,2.1616,,,,,,,,,,,,,,,,,,,,
