num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
62.0,l1,f,en,na,../audio/062.wav,,l1_f_en_na_062,,,,,,,../image/shoe.png,../image/ring.png,shoe,lshift,1,shoe,ring,shoe,ring,None,,,,,,,,,0,45,45,1,,,,,,,,,,,,29.47207720800361,rshift,0,0.1718568750002305,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
84.0,l1,f,se,na,../audio/084.wav,,l1_f_se_na_084,,,,,,,../image/penthouse.png,../image/rocket.png,penthouse,lshift,1,penthouse,rocket,penthouse,rocket,None,,,,,,,,,0,46,46,23,,,,,,,,,,,,29.69290845800424,lshift,1,0.12382350000552833,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
85.0,l1,f,se,na,../audio/085.wav,,l1_f_se_na_085,,,,,,,../image/loafers.png,../image/sneakers.png,sneakers,rshift,1,sneakers,loafers,loafers,sneakers,None,,,,,,,,,0,47,47,24,,,,,,,,,,,,29.866441541002132,rshift,1,0.14895508300105575,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
138.0,l1,t,es,f0u,../audio/138.wav,,l1_t_es_f0u_138,,,,,,,../image/pants.png,../image/shirt.png,shirt,lshift,1,shirt,pants,pants,shirt,None,,,,,,,,,0,48,48,52,,,,,,,,,,,,30.06357987500087,lshift,1,0.13985483400028897,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
79.0,l1,f,se,na,../audio/079.wav,,l1_f_se_na_079,,,,,,,../image/sweatpants.png,../image/jeans.png,jeans,rshift,1,jeans,sweatpants,sweatpants,jeans,None,,,,,,,,,0,49,49,18,,,,,,,,,,,,30.24681429100019,rshift,1,0.15761725000629667,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
14.0,l1,t,es,na,../audio/014.wav,,l1_t_es_na_014,,,,,,,../image/book.png,../image/key.png,key,lshift,1,key,book,book,key,None,,,,,,,,,0,50,50,38,,,,,,,,,,,,30.447448708000593,lshift,1,0.12507879099575803,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
94.0,l1,f,sp,na,../audio/094.wav,,l1_f_sp_na_094,,,,,,,../image/beer.png,../image/horchata.png,beer,rshift,1,beer,horchata,beer,horchata,None,,,,,,,,,0,51,51,33,,,,,,,,,,,,30.614602541005297,rshift,1,0.16151795799669344,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
86.0,l1,f,sp,na,../audio/086.wav,,l1_f_sp_na_086,,,,,,,../image/plates.png,../image/glasses.png,plates,lshift,1,plates,glasses,plates,glasses,None,,,,,,,,,0,52,52,25,,,,,,,,,,,,30.812646833001054,lshift,1,0.1341808330034837,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
83.0,l1,f,se,na,../audio/083.wav,,l1_f_se_na_083,,,,,,,../image/donut.png,../image/burger.png,burger,rshift,1,burger,donut,donut,burger,None,,,,,,,,,0,53,53,22,,,,,,,,,,,,30.990710750003927,rshift,1,0.13527349999640137,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
72.0,l1,f,en,na,../audio/072.wav,,l1_f_en_na_072,,,,,,,../image/dog.png,../image/fish.png,dog,lshift,1,dog,fish,dog,fish,None,,,,,,,,,0,54,54,11,,,,,,,,,,,,31.167399666002893,lshift,1,0.1534819169974071,,,,,624130,001,2023-04-05_13h32.52.361,exp_g1,2022.2.5,None,
