num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_sound.started,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
14.0,l1,t,es,na,../audio/014.wav,,l1_t_es_na_014,,,,,,,../image/book.png,../image/key.png,key,rshift,1,key,book,book,key,None,,,,,,,,,0,16,16,38,,,,,,,,,,,,,687.007475915947,None,0,,687.9811951409908,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
135.0,l1,t,es,f0u,../audio/135.wav,,l1_t_es_f0u_135,,,,,,,../image/flipflops.png,../image/flower.png,flipflops,lshift,1,flipflops,flower,flipflops,flower,None,,,,,,,,,0,17,17,49,,,,,,,,,,,,,692.0194916659966,lshift,1,2.4965491669718176,692.9833199749817,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
83.0,l1,f,se,na,../audio/083.wav,,l1_f_se_na_083,,,,,,,../image/donut.png,../image/burger.png,burger,rshift,1,burger,donut,donut,burger,None,,,,,,,,,0,18,18,22,,,,,,,,,,,,,694.5545208749827,rshift,1,2.142261251108721,695.5309271409758,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
85.0,l1,f,se,na,../audio/085.wav,,l1_f_se_na_085,,,,,,,../image/loafers.png,../image/sneakers.png,sneakers,rshift,1,sneakers,loafers,loafers,sneakers,None,,,,,,,,,0,19,19,24,,,,,,,,,,,,,696.7273816249799,rshift,1,2.8849791260436177,697.7068495579413,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
136.0,l1,t,es,f0u,../audio/136.wav,,l1_t_es_f0u_136,,,,,,,../image/city.png,../image/village.png,village,rshift,1,village,city,city,village,None,,,,,,,,,0,20,20,50,,,,,,,,,,,,,699.6436069579795,lshift,0,2.683146374998614,700.6215027249534,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
65.0,l1,f,en,na,../audio/065.wav,,l1_f_en_na_065,,,,,,,../image/computer.png,../image/book.png,book,rshift,1,book,computer,computer,book,None,,,,,,,,,0,21,21,4,,,,,,,,,,,,,702.358711207984,rshift,1,3.2629789580823854,703.3371793499798,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
87.0,l1,f,sp,na,../audio/087.wav,,l1_f_sp_na_087,,,,,,,../image/desk.png,../image/bed.png,bed,rshift,1,bed,desk,desk,bed,None,,,,,,,,,0,22,22,26,,,,,,,,,,,,,705.651982332929,rshift,1,2.440777959069237,706.6361774329678,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
18.0,l1,t,es,na,../audio/018.wav,,l1_t_es_na_018,,,,,,,../image/cups.png,../image/napkins.png,napkins,rshift,1,napkins,cups,cups,napkins,None,,,,,,,,,0,23,23,42,,,,,,,,,,,,,708.1235750409542,rshift,1,2.721895626047626,709.0973898499622,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
77.0,l1,f,se,na,../audio/077.wav,,l1_f_se_na_077,,,,,,,../image/mashedpotatoes.png,../image/donut.png,donut,rshift,1,donut,mashedpotatoes,mashedpotatoes,donut,None,,,,,,,,,0,24,24,16,,,,,,,,,,,,,710.8755348749692,rshift,1,2.476346917101182,711.8473664330202,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
137.0,l1,t,es,f0u,../audio/137.wav,,l1_t_es_f0u_137,,,,,,,../image/jacket.png,../image/shirt.png,jacket,lshift,1,jacket,shirt,jacket,shirt,None,,,,,,,,,0,25,25,51,,,,,,,,,,,,,713.3815657499945,lshift,1,3.048176292097196,714.3704126409837,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
88.0,l1,f,sp,na,../audio/088.wav,,l1_f_sp_na_088,,,,,,,../image/book.png,../image/cellphone.png,book,lshift,1,book,cellphone,book,cellphone,None,,,,,,,,,0,26,26,27,,,,,,,,,,,,,716.4580774579663,lshift,1,2.435196709004231,717.4381213080021,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
89.0,l1,f,sp,na,../audio/089.wav,,l1_f_sp_na_089,,,,,,,../image/bed.png,../image/wallet.png,wallet,rshift,1,wallet,bed,bed,wallet,None,,,,,,,,,0,27,27,28,,,,,,,,,,,,,718.9273784999968,rshift,1,2.417959584039636,719.8979387659463,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
13.0,l1,t,es,na,../audio/013.wav,,l1_t_es_na_013,,,,,,,../image/beer.png,../image/wine.png,beer,lshift,1,beer,wine,beer,wine,None,,,,,,,,,0,28,28,37,,,,,,,,,,,,,721.374482040992,lshift,1,3.0287650420796126,722.3492609749198,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
20.0,l1,t,es,na,../audio/020.wav,,l1_t_es_na_020,,,,,,,../image/cellphone.png,../image/backpack.png,backpack,rshift,1,backpack,cellphone,cellphone,backpack,None,,,,,,,,,0,29,29,44,,,,,,,,,,,,,724.4357190829469,rshift,1,2.681359709124081,725.4062933079083,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
74.0,l1,f,en,na,../audio/074.wav,,l1_f_en_na_074,,,,,,,../image/boy.png,../image/woman.png,boy,lshift,1,boy,woman,boy,woman,None,,,,,,,,,0,30,30,13,,,,,,,,,,,,,727.1575340830022,lshift,1,2.2975958340102807,728.1330244749668,,,,,RAP,001,2023-04-26_12h25.52.192,exp_g1,2022.2.5,122.42636816676976,
