...1,num,list,cond,lang,type,mat_dur,correct_key,exp_num,cs,exp1_key.keys,exp1_key.rt,exp1_key.corr,exp2_key.keys,exp2_key.rt,participant,group,prof
53,143,l2,TRUE,es,f0u,1.55846875,NA,2,1,NA,NA,NA,"[""lshift""]",[2.958899999976097],6,exp_g2,-16
54,144,l2,TRUE,es,f0u,0.69834375,NA,2,1,NA,NA,NA,"[""lshift""]",[4.048600000023839],6,exp_g2,-16
55,145,l2,TRUE,es,f0u,0.825,NA,2,1,NA,NA,NA,"[""lshift"",""lshift"",""lshift"",""lshift"",""rshift"",""lshift""]","[-0.29720000004772373,0.06850000000008549,0.4520999999047035,0.752099999904658,2.63209999990454,4.947099999904594]",6,exp_g2,-16
56,146,l2,TRUE,es,f0u,1.63628125,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[2.257399999976201,3.1900000000001683]",6,exp_g2,-16
57,147,l2,TRUE,es,f0u,1.025125,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[2.9322000000477146,3.18029999995224]",6,exp_g2,-16
58,148,l2,TRUE,es,f0u,0.739,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[3.181199999928367,3.431999999999789]",6,exp_g2,-16
59,149,l2,TRUE,es,f0u,1.2804375,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[2.5157999999522644,2.91339999997615]",6,exp_g2,-16
60,150,l2,TRUE,es,f0u,0.82653125,NA,2,1,NA,NA,NA,"[""lshift"",""rshift""]","[2.8138999999761154,3.6121000000238155]",6,exp_g2,-16
61,151,l1,TRUE,es,f0c,0.7884375,lshift,1,NA,lshift,2.5715,1,NA,NA,6,exp_g2,-16
62,152,l1,TRUE,es,f0c,0.92128125,rshift,1,NA,rshift,2.7087,1,NA,NA,6,exp_g2,-16
63,153,l1,TRUE,es,f0c,0.77825,lshift,1,NA,rshift,2.9003,0,NA,NA,6,exp_g2,-16
64,154,l1,TRUE,es,f0c,0.91259375,rshift,1,NA,lshift,3.0896,0,NA,NA,6,exp_g2,-16
65,155,l1,TRUE,es,f0c,0.8595,lshift,1,NA,lshift,2.5102,1,NA,NA,6,exp_g2,-16
66,156,l1,TRUE,es,f0c,0.974875,rshift,1,NA,rshift,3.4631,1,NA,NA,6,exp_g2,-16
67,157,l1,TRUE,es,f0c,0.635125,lshift,1,NA,lshift,2.4634,1,NA,NA,6,exp_g2,-16
68,158,l1,TRUE,es,f0c,0.9708125,rshift,1,NA,rshift,3.2887,1,NA,NA,6,exp_g2,-16
69,159,l1,TRUE,es,f0c,1.1799375,lshift,1,NA,lshift,3.0736,1,NA,NA,6,exp_g2,-16
70,160,l1,TRUE,es,f0c,1.108625,rshift,1,NA,rshift,2.967,1,NA,NA,6,exp_g2,-16
1,11,l1,TRUE,es,na,0.944375,lshift,1,NA,lshift,3.037137666,1,NA,NA,12,exp_g1,8
2,12,l1,TRUE,es,na,0.823703,rshift,1,NA,rshift,2.772565208,1,NA,NA,12,exp_g1,8
3,13,l1,TRUE,es,na,1.352093,lshift,1,NA,lshift,2.792316416,1,NA,NA,12,exp_g1,8
4,14,l1,TRUE,es,na,0.788685,rshift,1,NA,rshift,2.329284375,1,NA,NA,12,exp_g1,8
5,15,l1,TRUE,es,na,0.882114,lshift,1,NA,lshift,3.173125333,1,NA,NA,12,exp_g1,8
6,16,l1,TRUE,es,na,1.694902,rshift,1,NA,rshift,3.141361833,1,NA,NA,12,exp_g1,8
7,17,l1,TRUE,es,na,1.328805,lshift,1,NA,lshift,4.193076041,1,NA,NA,12,exp_g1,8
8,18,l1,TRUE,es,na,0.900375,rshift,1,NA,rshift,3.050142166,1,NA,NA,12,exp_g1,8
9,19,l1,TRUE,es,na,1.44153,lshift,1,NA,lshift,-0.352787875,1,NA,NA,12,exp_g1,8
10,20,l1,TRUE,es,na,0.99676,rshift,1,NA,rshift,2.490079291,1,NA,NA,12,exp_g1,8
11,21,l2,TRUE,es,na,0.704021,NA,2,1,NA,NA,NA,['rshift'],[2.1916062500094995],12,exp_g1,8
12,22,l2,TRUE,es,na,0.863963,NA,2,1,NA,NA,NA,['rshift'],[2.595971417031251],12,exp_g1,8
