...1,num,list,cond,lang,type,mat_dur,exp1_key.keys,exp1_key.rt,exp1_key.corr,cor_rate,participant,group,prof,rt
29,139,l1,TRUE,es,f0u,1.1799375,lshift,2.875,1,1,42,exp_g1,22,1.6950625
30,140,l1,TRUE,es,f0u,1.108625,rshift,2.8235,1,1,42,exp_g1,22,1.714875
1,11,l1,TRUE,es,na,0.944375,lshift,3.150265542,1,0.866666666666667,52,exp_g1,11,2.205890542
2,13,l1,TRUE,es,na,1.352093,lshift,3.066672458,1,0.866666666666667,52,exp_g1,11,1.714579458
3,14,l1,TRUE,es,na,0.788685,rshift,2.5843005,1,0.866666666666667,52,exp_g1,11,1.7956155
4,15,l1,TRUE,es,na,0.882114,lshift,2.744366834,1,0.866666666666667,52,exp_g1,11,1.862252834
5,16,l1,TRUE,es,na,1.694902,rshift,3.276699042,1,0.866666666666667,52,exp_g1,11,1.581797042
6,17,l1,TRUE,es,na,1.328805,lshift,3.566165667,1,0.866666666666667,52,exp_g1,11,2.237360667
7,18,l1,TRUE,es,na,0.900375,rshift,4.258899833,1,0.866666666666667,52,exp_g1,11,3.358524833
8,19,l1,TRUE,es,na,1.44153,lshift,3.297999375,1,0.866666666666667,52,exp_g1,11,1.856469375
9,63,l1,FALSE,en,na,0.351376,rshift,1.954134791,1,0.866666666666667,52,exp_g1,11,1.602758791
10,64,l1,FALSE,en,na,0.428572,lshift,1.90403775,1,0.866666666666667,52,exp_g1,11,1.47546575
11,66,l1,FALSE,en,na,0.78000100000000006,lshift,2.217448584,1,0.866666666666667,52,exp_g1,11,1.437447584
12,67,l1,FALSE,en,na,0.950804,rshift,2.259444,1,0.866666666666667,52,exp_g1,11,1.30864
13,68,l1,FALSE,en,na,0.600784,lshift,2.553678834,1,0.866666666666667,52,exp_g1,11,1.952894834
14,71,l1,FALSE,en,na,1.261129,rshift,2.684760459,1,0.866666666666667,52,exp_g1,11,1.423631459
15,72,l1,FALSE,en,na,0.83156,lshift,2.335198291,1,0.866666666666667,52,exp_g1,11,1.503638291
16,73,l1,FALSE,en,na,0.877576,rshift,2.436679833,1,0.866666666666667,52,exp_g1,11,1.559103833
17,74,l1,FALSE,en,na,0.396484,lshift,2.616720917,1,0.866666666666667,52,exp_g1,11,2.220236917
18,75,l1,FALSE,en,na,0.913493,rshift,2.4390165,1,0.866666666666667,52,exp_g1,11,1.5255235
19,132,l1,TRUE,es,f0u,0.92128125,rshift,2.566476042,1,0.866666666666667,52,exp_g1,11,1.645194792
20,133,l1,TRUE,es,f0u,0.77825,lshift,2.654857583,1,0.866666666666667,52,exp_g1,11,1.876607583
21,135,l1,TRUE,es,f0u,0.8595,lshift,2.385285666,1,0.866666666666667,52,exp_g1,11,1.525785666
22,136,l1,TRUE,es,f0u,0.974875,rshift,3.437316292,1,0.866666666666667,52,exp_g1,11,2.462441292
23,137,l1,TRUE,es,f0u,0.635125,lshift,2.451126042,1,0.866666666666667,52,exp_g1,11,1.816001042
24,138,l1,TRUE,es,f0u,0.9708125,rshift,2.558981667,1,0.866666666666667,52,exp_g1,11,1.588169167
25,139,l1,TRUE,es,f0u,1.1799375,lshift,2.882952459,1,0.866666666666667,52,exp_g1,11,1.703014959
1,21,l2,TRUE,es,na,0.704021,lshift,2.2567,1,0.966666666666667,54,exp_g2,8,1.552679
2,22,l2,TRUE,es,na,0.863963,rshift,3.3995,1,0.966666666666667,54,exp_g2,8,2.535537
3,23,l2,TRUE,es,na,0.806296,lshift,2.8016,1,0.966666666666667,54,exp_g2,8,1.995304
4,24,l2,TRUE,es,na,0.817267,rshift,3.1288,1,0.966666666666667,54,exp_g2,8,2.311533
5,25,l2,TRUE,es,na,0.909694,lshift,2.4311,1,0.966666666666667,54,exp_g2,8,1.521406
6,26,l2,TRUE,es,na,0.977641,rshift,2.3851,1,0.966666666666667,54,exp_g2,8,1.407459
7,27,l2,TRUE,es,na,0.619246,lshift,2.0583,1,0.966666666666667,54,exp_g2,8,1.439054
8,28,l2,TRUE,es,na,0.937816,rshift,3.0743,1,0.966666666666667,54,exp_g2,8,2.136484
9,29,l2,TRUE,es,na,1.122001,lshift,2.7913,1,0.966666666666667,54,exp_g2,8,1.669299
10,30,l2,TRUE,es,na,1.133667,rshift,2.958,1,0.966666666666667,54,exp_g2,8,1.824333
