participant,group,list,cond,lang,type,num,exp_num,cs,correct_key,response,rt,is_correct,source,lextale,lextale_z,mat_dur
027,exp_g2,l2,f,en,na,109,1,NA,lshift,lshift,1.503603,1,local,14,0.4022857887116734,0.34409699999999999
027,exp_g2,l1,t,es,f0c,157,1,NA,lshift,lshift,1.560775,1,local,14,0.4022857887116734,0.63512500000000005
027,exp_g2,l2,t,es,na,022,1,NA,rshift,rshift,1.3472369999999998,1,local,14,0.4022857887116734,0.86396300000000004
027,exp_g2,l2,t,es,na,027,1,NA,lshift,lshift,1.4264540000000001,1,local,14,0.4022857887116734,0.61924599999999996
027,exp_g2,l2,t,es,na,026,1,NA,rshift,rshift,1.3185589999999998,1,local,14,0.4022857887116734,0.97764099999999998
027,exp_g2,l1,t,es,f0c,151,1,NA,lshift,lshift,2.1310625,1,local,14,0.4022857887116734,0.78843750000000001
027,exp_g2,l2,f,en,na,107,1,NA,lshift,lshift,1.5215050000000003,1,local,14,0.4022857887116734,0.74009499999999995
027,exp_g2,l2,t,es,na,025,1,NA,lshift,rshift,1.7756059999999998,0,local,14,0.4022857887116734,0.909694
027,exp_g2,l2,f,en,na,108,1,NA,rshift,rshift,1.3724049999999997,1,local,14,0.4022857887116734,0.81899500000000003
027,exp_g2,l2,f,en,na,098,1,NA,rshift,rshift,1.3930580000000001,1,local,14,0.4022857887116734,0.37614199999999998
