participant,lt_std,...1,num,list,cond,lang,type,mat_dur,exp1_key.keys,exp1_key.rt,exp1_key.corr,cor_rate,group,prof,rt
91,0.02727361279401186,11,99,l2,FALSE,en,na,0.462405,lshift,1.5997,1,0.9,exp_g2,9,1.137295
91,0.02727361279401186,12,101,l2,FALSE,en,na,0.924484,lshift,2.3657,1,0.9,exp_g2,9,1.441216
91,0.02727361279401186,13,103,l2,FALSE,en,na,0.594925,lshift,1.9735,1,0.9,exp_g2,9,1.378575
91,0.02727361279401186,14,106,l2,FALSE,en,na,1.203962,rshift,2.5917,1,0.9,exp_g2,9,1.387738
91,0.02727361279401186,15,107,l2,FALSE,en,na,0.740095,lshift,2.1925,1,0.9,exp_g2,9,1.452405
91,0.02727361279401186,16,108,l2,FALSE,en,na,0.818995,rshift,3.9452,1,0.9,exp_g2,9,3.126205
91,0.02727361279401186,17,109,l2,FALSE,en,na,0.344097,lshift,1.6449,1,0.9,exp_g2,9,1.300803
91,0.02727361279401186,18,110,l2,FALSE,en,na,0.973278,rshift,2.1783,1,0.9,exp_g2,9,1.205022
91,0.02727361279401186,19,141,l2,TRUE,es,f0u,0.75509375,lshift,2.1663,1,0.9,exp_g2,9,1.41120625
91,0.02727361279401186,20,143,l2,TRUE,es,f0u,1.55846875,lshift,3.3077,1,0.9,exp_g2,9,1.74923125
91,0.02727361279401186,21,144,l2,TRUE,es,f0u,0.69834375,rshift,2.2461,1,0.9,exp_g2,9,1.54775625
91,0.02727361279401186,22,145,l2,TRUE,es,f0u,0.825,lshift,2.0656,1,0.9,exp_g2,9,1.2406
91,0.02727361279401186,23,146,l2,TRUE,es,f0u,1.63628125,rshift,2.9649,1,0.9,exp_g2,9,1.32861875
91,0.02727361279401186,24,147,l2,TRUE,es,f0u,1.025125,lshift,3.06,1,0.9,exp_g2,9,2.034875
91,0.02727361279401186,25,148,l2,TRUE,es,f0u,0.739,rshift,2.3961,1,0.9,exp_g2,9,1.6571
91,0.02727361279401186,26,149,l2,TRUE,es,f0u,1.2804375,lshift,2.5612,1,0.9,exp_g2,9,1.2807625
91,0.02727361279401186,27,150,l2,TRUE,es,f0u,0.82653125,rshift,2.2625,1,0.9,exp_g2,9,1.43596875
70,1.6773271868317228,1,11,l1,TRUE,es,na,0.944375,lshift,2.7305,1,0.966666666666667,exp_g1,31,1.786125
