participant,lt_std,...1,num,list,cond,lang,type,mat_dur,exp_num,group,prof,cor_rate,rt_cs,rt_mat
54,-0.047728822389520455,10,141,l2,TRUE,es,f0u,0.75509375,2,exp_g2,8,0.633333333333333,0.537099999999782,1.31470624999999
54,-0.047728822389520455,11,142,l2,TRUE,es,f0u,0.73509375,2,exp_g2,8,0.633333333333333,0.581099999999651,1.44750624999964
54,-0.047728822389520455,12,143,l2,TRUE,es,f0u,1.55846875,2,exp_g2,8,0.633333333333333,0.898999999999887,1.37473125000017
54,-0.047728822389520455,13,144,l2,TRUE,es,f0u,0.69834375,2,exp_g2,8,0.633333333333333,0.291200000000117,2.00065625000007
54,-0.047728822389520455,14,145,l2,TRUE,es,f0u,0.825,2,exp_g2,8,0.633333333333333,0.601200000000063,1.3261000000005
54,-0.047728822389520455,15,146,l2,TRUE,es,f0u,1.63628125,2,exp_g2,8,0.633333333333333,0.625599999999622,1.29821874999984
54,-0.047728822389520455,16,147,l2,TRUE,es,f0u,1.025125,2,exp_g2,8,0.633333333333333,0.495799999999917,1.29177500000049
54,-0.047728822389520455,17,148,l2,TRUE,es,f0u,0.739,2,exp_g2,8,0.633333333333333,0.562300000000732,1.27849999999993
54,-0.047728822389520455,18,149,l2,TRUE,es,f0u,1.2804375,2,exp_g2,8,0.633333333333333,0.816400000000385,1.53726250000029
54,-0.047728822389520455,19,150,l2,TRUE,es,f0u,0.82653125,2,exp_g2,8,0.633333333333333,0.852499999999964,1.46106875000057
75,-0.7977531742248436,1,11,l1,TRUE,es,na,0.944375,2,exp_g2,-2,0.666666666666667,0.482800000000282,1.90682500000018
75,-0.7977531742248436,2,12,l1,TRUE,es,na,0.823703,2,exp_g2,-2,0.666666666666667,0.47160000000008,2.94969700000038
75,-0.7977531742248436,3,13,l1,TRUE,es,na,1.352093,2,exp_g2,-2,0.666666666666667,0.548700000000167,3.23020700000026
75,-0.7977531742248436,4,14,l1,TRUE,es,na,0.788685,2,exp_g2,-2,0.666666666666667,0.452899999999886,1.7982149999999
75,-0.7977531742248436,5,15,l1,TRUE,es,na,0.882114,2,exp_g2,-2,0.666666666666667,1.41659999999968,2.23498599999965
75,-0.7977531742248436,6,16,l1,TRUE,es,na,1.694902,2,exp_g2,-2,0.666666666666667,0.465000000000032,1.97039800000034
75,-0.7977531742248436,7,17,l1,TRUE,es,na,1.328805,2,exp_g2,-2,0.666666666666667,0.500199999999722,1.97149499999988
75,-0.7977531742248436,8,18,l1,TRUE,es,na,0.900375,2,exp_g2,-2,0.666666666666667,0.424900000000435,3.07462500000002
75,-0.7977531742248436,9,19,l1,TRUE,es,na,1.44153,2,exp_g2,-2,0.666666666666667,0.593299999999772,2.01026999999982
75,-0.7977531742248436,10,20,l1,TRUE,es,na,0.99676,2,exp_g2,-2,0.666666666666667,0.732300000000237,2.1373400000001
75,-0.7977531742248436,11,141,l2,TRUE,es,f0u,0.75509375,2,exp_g2,-2,0.666666666666667,0.548999999999979,3.02930624999989
75,-0.7977531742248436,12,142,l2,TRUE,es,f0u,0.73509375,2,exp_g2,-2,0.666666666666667,0.550200000000246,2.23530624999993
75,-0.7977531742248436,13,143,l2,TRUE,es,f0u,1.55846875,2,exp_g2,-2,0.666666666666667,1.60089999999991,1.57613124999964
75,-0.7977531742248436,14,144,l2,TRUE,es,f0u,0.69834375,2,exp_g2,-2,0.666666666666667,0.955700000000206,1.55215624999999
75,-0.7977531742248436,15,145,l2,TRUE,es,f0u,0.825,2,exp_g2,-2,0.666666666666667,0.433999999999969,2.31019999999971
75,-0.7977531742248436,16,146,l2,TRUE,es,f0u,1.63628125,2,exp_g2,-2,0.666666666666667,1.54539999999992,1.21491874999972
75,-0.7977531742248436,17,147,l2,TRUE,es,f0u,1.025125,2,exp_g2,-2,0.666666666666667,0.43320000000017,2.12417500000027
75,-0.7977531742248436,18,148,l2,TRUE,es,f0u,0.739,2,exp_g2,-2,0.666666666666667,0.411399999999958,1.86269999999971
75,-0.7977531742248436,19,149,l2,TRUE,es,f0u,1.2804375,2,exp_g2,-2,0.666666666666667,0.516600000000039,2.00526249999968
75,-0.7977531742248436,20,150,l2,TRUE,es,f0u,0.82653125,2,exp_g2,-2,0.666666666666667,0.540000000000077,2.11356875000014
6,-1.8477872667942958,1,12,l1,TRUE,es,na,0.823703,2,exp_g2,-16,0.366666666666667,0.182200000047715,2.60549700004779
6,-1.8477872667942958,2,13,l1,TRUE,es,na,1.352093,2,exp_g2,-16,0.366666666666667,0.315899999976182,2.02840699999998
6,-1.8477872667942958,3,15,l1,TRUE,es,na,0.882114,2,exp_g2,-16,0.366666666666667,0.208100000023705,1.95028600009528
6,-1.8477872667942958,4,16,l1,TRUE,es,na,1.694902,2,exp_g2,-16,0.366666666666667,0.368799999952444,2.42129800004768
6,-1.8477872667942958,5,17,l1,TRUE,es,na,1.328805,2,exp_g2,-16,0.366666666666667,0.483500000000049,1.7534949999524
