num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_key.started,exp1_trial_sound.started,exp1_trial_key.keys,exp1_trial_key.rt,exp1_key.started,exp1_key.keys,exp1_key.corr,exp1_key.rt,exp1_sound.started,exp2_trial_key.started,exp2_trial_sound.started,exp2_trial_key.keys,exp2_trial_key.rt,exp2_key.started,exp2_sound.started,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate
94,l1,f,sp,na,../audio/094.wav,,l1_f_sp_na_094,,,,,,,../image/beer.png,../image/horchata.png,beer,lshift,1,beer,horchata,beer,horchata,None,,,,,,,,,,0,35,35,33,,,,,,,,,,,,,,,,,133.4963562,lshift,1,3.003093374,134.4541666,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
82,l1,f,se,na,../audio/082.wav,,l1_f_se_na_082,,,,,,,../image/mickeymouse.png,../image/spongebob.png,mickeymouse,lshift,1,mickeymouse,spongebob,mickeymouse,spongebob,None,,,,,,,,,,0,36,36,21,,,,,,,,,,,,,,,,,136.5402547,lshift,1,2.196681291,137.5052909,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
87,l1,f,sp,na,../audio/087.wav,,l1_f_sp_na_087,,,,,,,../image/desk.png,../image/bed.png,bed,rshift,1,bed,desk,desk,bed,None,,,,,,,,,,0,37,37,26,,,,,,,,,,,,,,,,,138.7850487,rshift,1,2.272128958,139.7490312,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
71,l1,f,en,na,../audio/071.wav,,l1_f_en_na_071,,,,,,,../image/wallet.png,../image/plane.png,plane,rshift,1,plane,wallet,wallet,plane,None,,,,,,,,,,0,38,38,10,,,,,,,,,,,,,,,,,141.0925161,rshift,1,2.678988708,142.0659613,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
88,l1,f,sp,na,../audio/088.wav,,l1_f_sp_na_088,,,,,,,../image/book.png,../image/cellphone.png,book,lshift,1,book,cellphone,book,cellphone,None,,,,,,,,,,0,39,39,27,,,,,,,,,,,,,,,,,143.817674,lshift,1,2.243434916,144.78212,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
90,l1,f,sp,na,../audio/090.wav,,l1_f_sp_na_090,,,,,,,../image/bag.png,../image/bottle.png,bag,lshift,1,bag,bottle,bag,bottle,None,,,,,,,,,,0,40,40,29,,,,,,,,,,,,,,,,,146.1038065,lshift,1,2.229867541,147.0698541,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
75,l1,f,en,na,../audio/075.wav,,l1_f_en_na_075,,,,,,,../image/dog.png,../image/fish.png,fish,rshift,1,fish,dog,dog,fish,None,,,,,,,,,,0,41,41,14,,,,,,,,,,,,,,,,,148.3799868,rshift,1,2.459466583,149.3491988,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
83,l1,f,se,na,../audio/083.wav,,l1_f_se_na_083,,,,,,,../image/donut.png,../image/burger.png,burger,rshift,1,burger,donut,donut,burger,None,,,,,,,,,,0,42,42,22,,,,,,,,,,,,,,,,,150.8959405,lshift,0,1.882661416,151.8544773,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
61,l1,f,en,na,../audio/061.wav,,l1_f_en_na_061,,,,,,,../image/cat.png,../image/dog.png,dog,rshift,1,dog,cat,cat,dog,../image/,,,,,,,,,,0,43,43,0,,,,,,,,,,,,,,,,,152.8250653,rshift,1,2.097813916,153.7877815,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
15,l1,t,es,na,../audio/015.wav,,l1_t_es_na_015,,,,,,,../image/glasses.png,../image/jacket.png,glasses,lshift,1,glasses,jacket,glasses,jacket,None,,,,,,,,,,0,44,44,39,,,,,,,,,,,,,,,,,154.9720605,lshift,1,3.173125333,155.9323812,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
63,l1,f,en,na,../audio/063.wav,,l1_f_en_na_063,,,,,,,../image/woman.png,../image/man.png,man,rshift,1,man,woman,woman,man,None,,,,,,,,,,0,45,45,2,,,,,,,,,,,,,,,,,158.1963577,rshift,1,2.126005,159.1555284,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
137,l1,t,es,f0u,../audio/137.wav,,l1_t_es_f0u_137,,,,,,,../image/jacket.png,../image/shirt.png,jacket,lshift,1,jacket,shirt,jacket,shirt,None,,,,,,,,,,0,46,46,51,,,,,,,,,,,,,,,,,160.3719722,lshift,1,2.187015333,161.3379731,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
20,l1,t,es,na,../audio/020.wav,,l1_t_es_na_020,,,,,,,../image/cellphone.png,../image/backpack.png,backpack,rshift,1,backpack,cellphone,cellphone,backpack,None,,,,,,,,,,0,47,47,44,,,,,,,,,,,,,,,,,162.6115444,rshift,1,2.490079291,163.5700073,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
131,l1,t,es,f0u,../audio/131.wav,,l1_t_es_f0u_131,,,,,,,../image/cat.png,../image/flower.png,cat,lshift,1,cat,flower,cat,flower,None,,,,,,,,,,0,48,48,45,,,,,,,,,,,,,,,,,165.1513307,lshift,1,2.078716041,166.115432,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
62,l1,f,en,na,../audio/062.wav,,l1_f_en_na_062,,,,,,,../image/shoe.png,../image/ring.png,shoe,lshift,1,shoe,ring,shoe,ring,None,,,,,,,,,,0,49,49,1,,,,,,,,,,,,,,,,,167.2762415,lshift,1,2.167530792,168.2383062,,,,,,,,,21,1,2023-04-20_13h33.25.605,exp_g1,2022.2.5,None
